         57984006 function calls (56654519 primitive calls) in 229.758 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   255488    0.034    0.000    0.034    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\shape_base.py:508(_expand_dims_dispatcher)
   309827    0.034    0.000    0.034    0.000 {method 'get' of 'dict' objects}
12960/675    0.032    0.000    7.857    0.012 c:\Users\Luna\anaconda3\envs\mentalab3\lib\copy.py:132(deepcopy)
   258809    0.032    0.000    0.032    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:2245(_any_dispatcher)
   255596    0.032    0.000    0.032    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:3071(_ndim_dispatcher)
    20979    0.031    0.000    0.059    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\abc.py:180(__instancecheck__)
   257270    0.031    0.000    0.031    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:194(_reshape_dispatcher)
     2430    0.029    0.000    0.141    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\utils\multiclass.py:186(type_of_target)
     2430    0.029    0.000    0.037    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\pipeline.py:662(_name_estimators)
    35586    0.028    0.000    0.028    0.000 {built-in method numpy.frombuffer}
     2430    0.028    0.000    0.028    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    12690    0.028    0.000    0.030    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\warnings.py:449(__enter__)
    26765    0.028    0.000    0.028    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\_weakrefset.py:70(__contains__)
   174753    0.027    0.000    0.027    0.000 {method 'endswith' of 'str' objects}
    14823    0.027    0.000   22.732    0.002 <__array_function__ internals>:2(sum)
   255758    0.026    0.000    0.026    0.000 {built-in method _operator.index}
     4860    0.026    0.000    0.212    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\inspect.py:2183(_signature_from_callable)
    12726    0.025    0.000    0.048    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\warnings.py:159(_add_filter)
     4860    0.025    0.000    0.281    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\base.py:151(_get_param_names)
     4860    0.025    0.000    0.025    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    11547    0.024    0.000    5.282    0.000 {built-in method builtins.sum}
    24192    0.024    0.000    0.047    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\io\meas_info.py:184(_check_ch_keys)
     5103    0.023    0.000   15.583    0.003 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\base.py:369(_validate_data)
     2430    0.022    0.000    2.693    0.001 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\svm\_base.py:597(predict)
    12312    0.022    0.000    0.060    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\numerictypes.py:360(issubdtype)
     4860    0.022    0.000    0.033    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\inspect.py:2732(__init__)
    34839    0.021    0.000    0.031    0.000 <frozen importlib._bootstrap>:416(parent)
