TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1918.4344,-372023.25,-371846.67,-371636.48,-376317.64,-368386.69,-370490.45,-371201.61
1918.4384,-368947.79,-362721.77,-380954.45,-378843.64,-373163.79,-372818.56,-386061.76
1918.4424,-370014.62,-364627.6,-384445.81,-380716.7,-377199.55,-374384.35,-381947.18
1918.4464,-373155.26,-373793.12,-377933.02,-379385.66,-375102.18,-373184.06,-367006.3
1918.4503,-375136.61,-380171.63,-369245.95,-376666.4,-369585.51,-370769.88,-356461.04
1918.4543,-371737.67,-371967.07,-371661.8,-376379.34,-368463.75,-370851.7,-371073.1
1918.4583,-368591.54,-362817.38,-380953.31,-378918.26,-373204.8,-373267.6,-386020.61
1918.4623,-369691.85,-364659.59,-384480.24,-380789.04,-377230.55,-374793.91,-381948.37
1918.4663,-373005.15,-373821.35,-378024.86,-379483.32,-375174.66,-373476.98,-367034.96
1918.4703,-375244.61,-380269.14,-369271.75,-376753.66,-369632.38,-370828.72,-356315.66
1918.4743,-372094.1,-372161.96,-371573.64,-376429.22,-368466.85,-370666.88,-370760.91
1918.4783,-369048.07,-362946.17,-380874.73,-378935.57,-373195.07,-372929.47,-385855.2
1918.4823,-370045.52,-364691.59,-384483.53,-380778.88,-377260.68,-374449.63,-381990.62
1918.4863,-373062.46,-373758.93,-378064.73,-379405.59,-375215.53,-373231.6,-367211.67
1918.4903,-375122.21,-380331.18,-369302.27,-376673.79,-369694.13,-370793.67,-356354.71
1918.4943,-371790.45,-372341.87,-371488.95,-376301.81,-368463.85,-370798.35,-370546.19
1918.4983,-368547.2,-363009.07,-380802.34,-378784.84,-373151.59,-373197.98,-385792.21
1918.5023,-369548.51,-364647.81,-384498.21,-380709.26,-377262.35,-374802.01,-382070.4
1918.5063,-372803.16,-373709.77,-378165.62,-379455.37,-375287.82,-373564.24,-367305.7
1918.5103,-375077.91,-380315.64,-369295.4,-376709.36,-369711.59,-370927.52,-356279.84
1918.5142,-372026.77,-372517.15,-371361.87,-376321.84,-368445.06,-370721.24,-370160.91
1918.5182,-368936.44,-363128.18,-380701.35,-378805.06,-373118.25,-372953.17,-385601.14
1918.5222,-369995.92,-364650.87,-384496.07,-380731.72,-377259.16,-374457.83,-382100.82
1918.5262,-373203.89,-373656.75,-378218.98,-379475.97,-375315.76,-373217.87,-367409.85
1918.5302,-375386.0,-380377.58,-369340.42,-376730.77,-369760.37,-370700.74,-356235.12
1918.5342,-372172.26,-372700.83,-371296.07,-376301.05,-368434.52,-370639.85,-369851.11
1918.5382,-368822.81,-363192.27,-380624.15,-378768.63,-373064.13,-373063.23,-385501.86
1918.5422,-369678.3,-364602.18,-384525.49,-380716.18,-377255.91,-374748.8,-382175.68
1918.5462,-372841.78,-373577.31,-378320.17,-379497.1,-375368.02,-373589.85,-367536.87
1918.5502,-375135.13,-380386.45,-369374.75,-376740.45,-369801.14,-370996.57,-356176.51
1918.5542,-372147.7,-372841.21,-371226.64,-376295.33,-368438.29,-370759.58,-369600.34
1918.5582,-368958.42,-363255.21,-380538.27,-378741.64,-373030.8,-372955.32,-385367.53
1918.5622,-369937.46,-364495.51,-384509.18,-380696.25,-377213.71,-374444.82,-382259.22
