TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1587.3281,-369053.88,-365817.5,-375077.2,-376399.37,-369576.16,-370643.09,-377953.24
1587.3321,-367906.66,-361129.52,-382567.02,-379199.41,-374303.53,-372924.75,-385413.84
1587.3361,-370220.8,-367271.42,-381499.62,-379628.56,-376031.25,-373283.29,-374848.41
1587.3401,-373744.1,-377912.09,-372766.06,-377131.75,-372518.44,-371159.88,-356525.8
1587.3441,-373219.01,-377586.51,-368532.65,-375026.99,-368531.37,-369457.72,-357035.06
1587.3481,-369056.51,-365907.0,-374978.87,-376381.06,-369534.16,-370638.75,-377665.47
1587.3521,-367868.32,-361045.98,-382517.48,-379168.6,-374249.55,-372873.54,-385413.45
1587.3561,-370191.9,-367121.02,-381522.56,-379625.79,-376029.58,-373229.93,-374986.41
1587.3601,-373729.23,-377783.49,-372803.02,-377142.19,-372553.39,-371115.16,-356688.35
1587.3641,-373298.78,-377678.25,-368472.52,-375040.15,-368551.63,-369413.94,-356949.75
1587.3681,-369140.86,-366055.25,-374833.34,-376351.16,-369475.69,-370559.36,-377458.09
1587.3721,-367882.01,-361058.99,-382443.81,-379153.25,-374191.9,-372838.49,-385482.6
1587.376,-370149.85,-367052.69,-381568.76,-379632.38,-376021.62,-373250.0,-375142.09
1587.38,-373683.83,-377756.31,-372899.29,-377169.22,-372582.77,-371186.25,-356811.42
1587.384,-373280.52,-377775.43,-368467.95,-375036.33,-368546.63,-369469.78,-356830.21
1587.388,-369132.85,-366178.75,-374768.4,-376320.55,-369435.78,-370592.45,-377308.75
1587.392,-367846.91,-361070.96,-382415.86,-379128.12,-374145.12,-372849.46,-385526.85
1587.396,-370134.92,-367003.72,-381597.09,-379646.82,-376015.52,-373251.43,-375308.27
1587.4,-373682.02,-377661.75,-372948.26,-377177.24,-372598.5,-371138.62,-356969.11
1587.404,-373334.02,-377770.61,-368426.56,-375012.39,-368535.9,-369354.34,-356724.35
1587.408,-369189.93,-366149.23,-374662.01,-376280.3,-369388.58,-370437.95,-377217.29
1587.412,-367892.98,-360977.88,-382349.16,-379102.13,-374108.45,-372713.23,-385581.01
1587.416,-370123.24,-366849.32,-381618.97,-379635.0,-376009.37,-373171.71,-375456.47
1587.42,-373617.41,-377563.24,-373012.68,-377199.55,-372641.32,-371165.61,-357130.71
1587.424,-373263.59,-377847.67,-368450.73,-375033.14,-368576.71,-369465.54,-356708.52
1587.428,-369079.4,-366259.67,-374665.26,-376277.3,-369391.82,-370591.64,-377205.27
1587.432,-367741.15,-361021.37,-382366.27,-379088.4,-374094.82,-372865.2,-385632.66
1587.436,-369998.36,-366832.01,-381689.5,-379653.93,-376040.6,-373315.43,-375599.57
1587.4399,-373579.98,-377544.16,-373077.87,-377231.21,-372696.06,-371251.1,-357250.59
1587.4439,-373404.36,-377963.64,-368436.19,-375061.89,-368610.86,-369452.23,-356588.69
1587.4479,-369308.8,-366370.77,-374579.43,-376282.36,-369370.89,-370457.45,-377059.31
1587.4519,-368003.94,-361042.64,-382316.73,-379093.36,-374060.15,-372663.97,-385615.44
1587.4559,-370204.68,-366731.64,-381711.58,-379649.88,-376019.95,-373091.55,-375658.18
1587.4599,-373692.37,-377439.4,-373140.09,-377247.81,-372723.58,-371100.37,-357332.27
1587.4639,-373397.49,-377986.33,-368400.24,-375043.63,-368611.9,-369383.67,-356444.02
1587.4679,-369155.88,-366429.23,-374512.67,-376234.86,-369341.23,-370508.0,-376886.84
1587.4719,-367689.65,-360984.94,-382292.98,-379049.35,-374035.26,-372833.44,-385635.47
1587.4759,-369878.62,-366656.06,-381775.85,-379671.38,-376055.81,-373363.87,-375804.71
1587.4799,-373436.59,-377379.18,-373225.54,-377275.65,-372769.11,-371349.95,-357456.49
1587.4839,-373325.2,-378062.34,-368390.89,-375055.07,-368631.6,-369526.05,-356319.18
1587.4879,-369249.96,-366529.94,-374406.43,-376209.88,-369305.46,-370491.41,-376682.09
1587.4919,-367924.64,-361006.54,-382228.28,-379041.1,-373996.64,-372689.86,-385623.79
1587.4959,-370199.01,-366601.84,-381783.24,-379686.93,-376047.94,-373120.3,-375904.18
